	TIGA					GWAS Catalog	
Release	Studies	Publications	Traits	Genes	SNPs	GC_Studies	GC_Traits
2021-05-06	4725	2774	1654	18441	142657	8712	2776
2021-09-15	4973	2864	1674	18531		9452	2857
2021-11-23	5377	2936	1733	18858	167825	10306	3439
2022-03-24	9144	3030	1915	19155	171847	14879	3951
2022-07-12	12335	3141	2247	19351	184014	19613	4967
2022-11-09	14386	3259	2883	19560	205455	23447	5776
2023-01-31	18916	3331	4888	19772		29094	9544
2023-04-13	23346	3387	6000	20017	242668	34044	9590
2023-09-11	25246	3509	7075	19818	251403	38861	14920
2024-02-12	26978	3640	7291	18600	270424	41471	15073
2024-09-13	31218	3750	7454	18636	287989	49548	15524
2025-09-16	40145	3968	11978	18895	391446	163299	20216
